"","Descripccion","Especie","X..identidad","Acceso.NCBI","EC.1.14.19","Homologia","Rango.de.Homología","Top.20.homología","Cluster","Tamaño.cluster","Anotacion","Seleccionada","Respaldo.por.articulos","Interaccion.con.metabolitos","X.Interacción.con.proteínas.similares.a.la.vía.de.P..nigrum","Docking","Puntuacion..Total","DNA.Length"
"242","Cytochrome P450 77A1 OS=Solanum tuberosum OX=4113 PE=3 SV=1","Solanum tuberosum",29.7,"M1CLZ5","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"243","(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA03g01330D PE=3 SV=1","Brassica napus",29.7,"A0A078FE68","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"244","Uncharacterized protein (Fragment) OS=Gossypium harknessii OX=34285 GN=Gohar_003102 PE=3 SV=1","Gossypium harknessii",29.7,"A0A7J9HMZ5","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"245","Cytochrome P450 OS=Cuscuta campestris OX=132261 GN=CCAM_LOCUS22049 PE=3 SV=1","Cuscuta campestris",29.7,"A0A484LUS5","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"246","Uncharacterized protein (Fragment) OS=Gossypium klotzschianum OX=34286 GN=Goklo_006774 PE=3 SV=1","Gossypium klotzschianum",29.7,"A0A7J8VJB8","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"247","(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA06g33020D PE=3 SV=1","Brassica napus",29.7,"A0A078FKG6","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"248","Cytochrome P450 OS=Lupinus angustifolius OX=3871 GN=TanjilG_13192 PE=3 SV=1","Lupinus angustifolius",29.7,"A0A4P1RTR3","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"249","Cytochrome p450 77a1 OS=Nicotiana attenuata OX=49451 GN=CYP77A1_0 PE=3 SV=1","Nicotiana attenuata",29.7,"A0A314KNE2","UNIPROT",0.297,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"250","Uncharacterized protein OS=Cuscuta australis OX=267555 GN=DM860_003995 PE=3 SV=1","Cuscuta australis",29.6,"A0A328CZN1","UNIPROT",0.296,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"251","Cytochrome P450 77A3-like OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj03G0045400 PE=3 SV=1","Ziziphus jujuba var. spinosa",29.6,"A0A978VN74","UNIPROT",0.296,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"252","Cytochrome P450 89A2 OS=Dichanthelium oligosanthes OX=888268 GN=BAE44_0000682 PE=3 SV=1","Dichanthelium oligosanthes",29.6,"A0A1E5WLR2","UNIPROT",0.296,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"253","Steroid 21-hydroxylase OS=Collichthys lucidus OX=240159 GN=D9C73_016041 PE=3 SV=1","Collichthys lucidus",29.6,"A0A4U5V2E5","UNIPROT",0.296,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"254","Cytochrome P450 77A2-like OS=Spinacia oleracea OX=3562 GN=LOC110793773 PE=4 SV=1","Spinacia oleracea",29.5,"A0A9R0K1J1","UNIPROT",0.295,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"255","Cytochrome P450 77A3 OS=Phaseolus vulgaris OX=3885 GN=PHAVU_003G076900g PE=3 SV=1","Phaseolus vulgaris",29.5,"V7C6X0","UNIPROT",0.295,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"256","Cytochrome P450 77A4 OS=Raphanus sativus OX=3726 GN=LOC108847097 PE=3 SV=1","Raphanus sativus",29.5,"A0A6J0MVA3","UNIPROT",0.295,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"257","Cytochrome P450 OS=Zizania palustris OX=103762 GN=GUJ93_ZPchr0014g47188 PE=3 SV=1","Zizania palustris",29.5,"A0A8J5W6Q4","UNIPROT",0.295,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"258","Cytochrome P450 OS=Corchorus olitorius OX=93759 GN=COLO4_31741 PE=3 SV=1","Corchorus olitorius",29.5,"A0A1R3H3Q8","UNIPROT",0.295,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"259","Uncharacterized protein OS=Gossypium anomalum OX=47600 GN=CXB51_013728 PE=3 SV=1","Gossypium anomalum",29.4,"A0A8J5YQC8","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"260","Cytochrome P450 77A1 OS=Dendrobium catenatum OX=906689 GN=CYP77A1 PE=3 SV=1","Dendrobium catenatum",29.4,"A0A2I0VM48","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"261","Cytochrome P450 OS=Gossypium mustelinum OX=34275 GN=E1A91_D06G181500v1 PE=3 SV=1","Gossypium mustelinum",29.4,"A0A5D2UMG5","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"262","Cytochrome P450 OS=Cuscuta campestris OX=132261 GN=CCAM_LOCUS38260 PE=3 SV=1","Cuscuta campestris",29.4,"A0A484N9E6","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"263","Cytochrome P450 OS=Erythranthe guttata OX=4155 GN=MIMGU_mgv1a004860mg PE=3 SV=1","Erythranthe guttata",29.4,"A0A022RE97","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"264","Uncharacterized protein OS=Panicum hallii var. hallii OX=1504633 GN=GQ55_7G129700 PE=3 SV=1","Panicum hallii var. hallii",29.4,"A0A2T7CUK8","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"265","Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113743718 PE=3 SV=1","Coffea arabica",29.4,"A0A6P6XKR1","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"266","Cytochrome P450 OS=Setaria viridis OX=4556 GN=SEVIR_7G095650v2 PE=3 SV=1","Setaria viridis",29.4,"A0A4U6TT33","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"267","Cytochrome P450 OS=Setaria italica OX=4555 GN=101753063 PE=3 SV=1","Setaria italica",29.4,"K3Y6E9","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"268","Premnaspirodiene oxygenase-like OS=Coffea canephora OX=49390 GN=GSCOC_T00031577001 PE=3 SV=1","Coffea canephora",29.4,"A0A068UQR9","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"269","Cytochrome P450 89A2-like OS=Panicum miliaceum OX=4540 GN=C2845_PM12G08930 PE=3 SV=1","Panicum miliaceum",29.4,"A0A3L6QJL6","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"270","Cytochrome P450 OS=Sorghum bicolor OX=4558 GN=SORBI_3003G413800 PE=3 SV=1","Sorghum bicolor",29.4,"C5XH17","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"271","Cytochrome P450 OS=Prunus persica OX=3760 GN=PRUPE_7G219700 PE=3 SV=1","Prunus persica",29.4,"M5VW54","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"272","Cytochrome P450 77A3 OS=Abrus precatorius OX=3816 GN=LOC113872464 PE=3 SV=1","Abrus precatorius",29.4,"A0A8B8MF94","UNIPROT",0.294,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"273","Cytochrome P450 OS=Dendrobium nobile OX=94219 GN=KFK09_009592 PE=3 SV=1","Dendrobium nobile",29.3,"A0A8T3BHK2","UNIPROT",0.293,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"274","Cytochrome P450 77A3 OS=Apostasia shenzhenica OX=1088818 GN=CYP77A3 PE=3 SV=1","Apostasia shenzhenica",29.3,"A0A2I0BFF5","UNIPROT",0.293,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"275","Cytochrome P450 OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR25251 PE=3 SV=1","Rhamnella rubrinervis",29.3,"A0A8K0DTX5","UNIPROT",0.293,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"276","Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_014908 PE=3 SV=1","Populus tomentosa",29.3,"A0A8X8ACK2","UNIPROT",0.293,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"277","Cytochrome P450 family protein OS=Populus alba OX=43335 GN=D5086_0000267630 PE=3 SV=1","Populus alba",29.3,"A0A4U5NL27","UNIPROT",0.293,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"278","Cytochrome P450 89A2 OS=Panicum virgatum OX=38727 GN=PVAP13_6KG057800 PE=3 SV=1","Panicum virgatum",29.3,"A0A8T0R758","UNIPROT",0.293,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"279","Cytochrome P450 OS=Physcomitrium patens OX=3218 GN=PHYPA_023408 PE=3 SV=1","Physcomitrium patens",29.2,"A0A2K1J1V7","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"280","Cytochrome P450 77A3 OS=Morella rubra OX=262757 GN=CJ030_MR2G004007 PE=3 SV=1","Morella rubra",29.2,"A0A6A1WAD2","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"281","Cytochrome P450 77A1 (Fragment) OS=Solanum melongena OX=4111 GN=CYP77A1 PE=2 SV=1","Solanum melongena",29.2,"P37123","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"282","Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113687900 PE=3 SV=1","Coffea arabica",29.2,"A0A6P6S502","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"283","Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113690037 PE=3 SV=1","Coffea arabica",29.2,"A0A6P6SC14","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"284","Cytochrome P450 77A1 OS=Cicer arietinum OX=3827 GN=LOC105852450 PE=3 SV=1","Cicer arietinum",29.2,"A0A1S3ED33","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"285","Cytochrome P450 77A1 OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj01G0129200 PE=3 SV=1","Ziziphus jujuba var. spinosa",29.2,"A0A978W1D7","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"286","Cytochrome P450 77A1 OS=Ziziphus jujuba OX=326968 GN=LOC107420023 PE=3 SV=1","Ziziphus jujuba",29.2,"A0A6P3ZWF5","UNIPROT",0.292,261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"287","Cytochrome P450 OS=Carya illinoinensis OX=32201 GN=CIPAW_09G089200 PE=3 SV=1","Carya illinoinensis",29.1,"A0A8T1PKC9","UNIPROT",0.291,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"288","Cytochrome P450 OS=Carpinus fangiana OX=176857 GN=FH972_000252 PE=3 SV=1","Carpinus fangiana",29.1,"A0A5N6Q8B8","UNIPROT",0.291,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"289","Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_015141 PE=3 SV=1","Camellia sinensis var. sinensis",29.1,"A0A4V3WKW2","UNIPROT",0.291,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"290","Cytochrome P450 77A4-like OS=Gossypium hirsutum OX=3635 GN=LOC107961980 PE=3 SV=1","Gossypium hirsutum",29,"A0A1U8PTQ7","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"291","Cytochrome P450 OS=Gossypium mustelinum OX=34275 GN=E1A91_A06G160200v1 PE=3 SV=1","Gossypium mustelinum",29,"A0A5D2YYR2","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"292","Cytochrome P450 OS=Gossypium raimondii OX=29730 GN=B456_010G178900 PE=3 SV=1","Gossypium raimondii",29,"A0A0D2VBS8","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"293","Cytochrome P450 77A3-like OS=Cicer arietinum OX=3827 GN=LOC101513914 PE=3 SV=1","Cicer arietinum",29,"A0A1S2XXQ7","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"294","Cytochrome P450 77A1 OS=Vigna radiata var. radiata OX=3916 GN=LOC106768697 PE=3 SV=1","Vigna radiata var. radiata",29,"A0A1S3UTV9","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"295","Cytochrome P450, E-class, group I OS=Parasponia andersonii OX=3476 GN=PanWU01x14_312750 PE=3 SV=1","Parasponia andersonii",29,"A0A2P5APA6","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"296","Cytochrome P450 77A1 OS=Juglans regia OX=51240 GN=LOC109014061 PE=3 SV=2","Juglans regia",29,"A0A2I4H6Z1","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"297","Premnaspirodiene oxygenase-like OS=Coffea canephora OX=49390 GN=GSCOC_T00031582001 PE=3 SV=1","Coffea canephora",29,"A0A068UT26","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"298","CYP77A4 OS=Arabidopsis lyrata subsp. lyrata OX=81972 GN=ARALYDRAFT_487247 PE=3 SV=1","Arabidopsis lyrata subsp. lyrata",29,"D7LXL2","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"299","Putative cytochrome P450 superfamily protein OS=Zea mays OX=4577 GN=103636322 PE=3 SV=1","Zea mays",29,"K7W1T9","UNIPROT",0.29,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"300","Premnaspirodiene oxygenase OS=Helianthus annuus OX=4232 GN=C71DA PE=3 SV=1","Helianthus annuus",28.9,"A0A251TAW5","UNIPROT",0.289,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"301","Cytochrome P450 77A3 OS=Lupinus angustifolius OX=3871 GN=TanjilG_05156 PE=3 SV=1","Lupinus angustifolius",28.9,"A0A1J7FNX1","UNIPROT",0.289,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"302","Cytochrome P450, family 21, subfamily A, polypeptide 2 OS=Cyprinus carpio carpio OX=630221 PE=3 SV=1","Cyprinus carpio carpio",28.9,"A0A8C0YFM2","UNIPROT",0.289,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"303","Uncharacterized protein OS=Lupinus angustifolius OX=3871 GN=TanjilG_07618 PE=3 SV=1","Lupinus angustifolius",28.9,"A0A1J7GLK0","UNIPROT",0.289,283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"304","Uncharacterized protein OS=Solanum lycopersicum OX=4081 GN=101250470 PE=3 SV=1","Solanum lycopersicum",28.8,"A0A3Q7IPR0","UNIPROT",0.288,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"305","Steroid 21-hydroxylase OS=Sparus aurata OX=8175 GN=LOC115567844 PE=3 SV=1","Sparus aurata",28.8,"A0A671U7S4","UNIPROT",0.288,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"306","Cytochrome P450 77A4 OS=Arabidopsis thaliana OX=3702 GN=CYP77A4 PE=2 SV=1","Arabidopsis thaliana",28.8,"Q9LZ31","UNIPROT",0.288,288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"307","Cytochrome P450 OS=Vigna angularis var. angularis OX=157739 GN=Vigan.01G550700 PE=3 SV=1","Vigna angularis var. angularis",28.7,"A0A0S3R9P4","UNIPROT",0.287,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"308","Cytochrome P450 OS=Phaseolus angularis OX=3914 GN=LR48_Vigan01g338100 PE=3 SV=1","Phaseolus angularis",28.7,"A0A0L9TTF8","UNIPROT",0.287,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"309","Cytochrome P450 OS=Jatropha curcas OX=180498 GN=JCGZ_21248 PE=3 SV=1","Jatropha curcas",28.7,"A0A067JAJ2","UNIPROT",0.287,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"310","Cytochrome P450 OS=Hevea brasiliensis OX=3981 GN=GH714_000880 PE=3 SV=1","Hevea brasiliensis",28.7,"A0A6A6LY74","UNIPROT",0.287,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"311","Cytochrome P450 OS=Digitaria exilis OX=1010633 GN=HU200_051166 PE=3 SV=1","Digitaria exilis",28.7,"A0A835ARB7","UNIPROT",0.287,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"312","p450 domain-containing protein OS=Cephalotus follicularis OX=3775 GN=CFOL_v3_11683 PE=3 SV=1","Cephalotus follicularis",28.7,"A0A1Q3BJI7","UNIPROT",0.287,292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"313","Steroid 21-hydroxylase-like OS=Sinocyclocheilus rhinocerous OX=307959 GN=LOC107743211 PE=3 SV=1","Sinocyclocheilus rhinocerous",28.6,"A0A673H4S2","UNIPROT",0.286,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"314","Cytochrome P450 OS=Arachis hypogaea OX=3818 GN=Ahy_B01g055903 PE=3 SV=1","Arachis hypogaea",28.6,"A0A445AXI1","UNIPROT",0.286,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"315","Cytochrome P450 OS=Chenopodium quinoa OX=63459 PE=3 SV=1","Chenopodium quinoa",28.6,"A0A803M201","UNIPROT",0.286,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"316","Cytochrome P450, family 21, subfamily A, polypeptide 2 OS=Astyanax mexicanus OX=7994 PE=3 SV=2","Astyanax mexicanus",28.6,"W5LAA4","UNIPROT",0.286,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"317","Cytochrome P450 77A1-like OS=Nicotiana tabacum OX=4097 GN=LOC107788916 PE=3 SV=1","Nicotiana tabacum",28.5,"A0A1S3ZPC5","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"318","Cytochrome P450 OS=Salix dunnii OX=1413687 GN=SADUNF_Sadunf04G0011200 PE=3 SV=1","Salix dunnii",28.5,"A0A835KE86","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"319","Cytochrome P450 OS=Cannabis sativa OX=3483 GN=F8388_027185 PE=3 SV=1","Cannabis sativa",28.5,"A0A7J6HWI0","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"320","Steroid 21-hydroxylase OS=Onychostoma macrolepis OX=369639 GN=G5714_016305 PE=3 SV=1","Onychostoma macrolepis",28.5,"A0A7J6CCA1","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"321","Cytochrome P450 89A2-like OS=Phoenix dactylifera OX=42345 GN=LOC103712482 PE=3 SV=1","Phoenix dactylifera",28.5,"A0A8B7CED2","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"322","BnaC08g41990D protein OS=Brassica napus OX=3708 GN=BnaC08g41990D PE=3 SV=1","Brassica napus",28.5,"A0A078H7Z4","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"323","Cytochrome P450 89A2 OS=Colocasia esculenta OX=4460 GN=Taro_028733 PE=3 SV=1","Colocasia esculenta",28.5,"A0A843VLY5","UNIPROT",0.285,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"324","Cytochrome P450 77A1 OS=Arachis duranensis OX=130453 GN=LOC107466822 PE=3 SV=1","Arachis duranensis",28.4,"A0A6P4BFB4","UNIPROT",0.284,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"325","Cytochrome P450 OS=Arachis hypogaea OX=3818 GN=Ahy_A01g000819 PE=3 SV=1","Arachis hypogaea",28.4,"A0A445ELF5","UNIPROT",0.284,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"326","Cytochrome P450 77A2 OS=Vitis vinifera OX=29760 GN=VIT_13s0074g00390 PE=3 SV=1","Vitis vinifera",28.4,"D7UBU8","UNIPROT",0.284,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"327","Cytochrome P450 77A4-like OS=Spinacia oleracea OX=3562 GN=LOC110803623 PE=4 SV=1","Spinacia oleracea",28.3,"A0A9R0KBV6","UNIPROT",0.283,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"328","Cytochrome P450 77A3-like OS=Raphanus sativus OX=3726 GN=LOC108829178 PE=3 SV=1","Raphanus sativus",28.3,"A0A6J0LFD8","UNIPROT",0.283,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"329","Cytochrome P450 77A3 OS=Eutrema salsugineum OX=72664 GN=EUTSA_v10007399mg PE=3 SV=1","Eutrema salsugineum",28.2,"V4L7E6","UNIPROT",0.282,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"330","Cytochrome P450 77A3 OS=Zea mays OX=4577 GN=100273592 PE=2 SV=1","Zea mays",28.2,"C0PFY1","UNIPROT",0.282,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"331","Steroid 21-hydroxylase-like OS=Sinocyclocheilus anshuiensis OX=1608454 GN=LOC107685595 PE=3 SV=1","Sinocyclocheilus anshuiensis",28.2,"A0A671LW96","UNIPROT",0.282,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"332","Steroid 21-hydroxylase-like OS=Sinocyclocheilus rhinocerous OX=307959 GN=LOC107743211 PE=3 SV=1","Sinocyclocheilus rhinocerous",28.2,"A0A673H2R4","UNIPROT",0.282,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"333","Cytochrome P450 OS=Salix brachista OX=2182728 GN=DKX38_005399 PE=3 SV=1","Salix brachista",28.1,"A0A5N5MZX8","UNIPROT",0.281,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"334","Cytochrome P450 family protein OS=Populus alba OX=43335 GN=D5086_0000267640 PE=3 SV=1","Populus alba",28.1,"A0A4U5NLL2","UNIPROT",0.281,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"335","Cytochrome P450 OS=Populus trichocarpa OX=3694 GN=POPTR_004G019000 PE=3 SV=2","Populus trichocarpa",28.1,"B9H1E7","UNIPROT",0.281,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"336","Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_016659 PE=3 SV=1","Populus tomentosa",28.1,"A0A8X8A2Y0","UNIPROT",0.281,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"337","Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_014909 PE=3 SV=1","Populus tomentosa",28.1,"A0A8X8A0U6","UNIPROT",0.281,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"338","Cytochrome P450 89A9 OS=Apostasia shenzhenica OX=1088818 GN=CYP89A9 PE=3 SV=1","Apostasia shenzhenica",28,"A0A2I0A3U4","UNIPROT",0.28,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"339","Cytochrome P450 89A2 OS=Dendrobium catenatum OX=906689 GN=CYP89A2 PE=3 SV=1","Dendrobium catenatum",27.9,"A0A2I0W5S2","UNIPROT",0.279,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"340","Uncharacterized protein OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR07791 PE=3 SV=1","Rhamnella rubrinervis",27.9,"A0A8K0HH84","UNIPROT",0.279,331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"341","Cytochrome P450 family protein OS=Tripterygium wilfordii OX=458696 GN=HS088_TW09G00225 PE=3 SV=1","Tripterygium wilfordii",27.8,"A0A7J7D792","UNIPROT",0.278,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"342","Cytochrome P450 71D8 OS=Glycine max OX=3847 GN=100790902 PE=3 SV=1","Glycine max",27.8,"I1L9Y1","UNIPROT",0.278,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"343","Cytochrome P450 OS=Malus domestica OX=3750 GN=DVH24_024529 PE=3 SV=1","Malus domestica",27.7,"A0A498JIP9","UNIPROT",0.277,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"344","Cytochrome p450 77a1 OS=Nicotiana attenuata OX=49451 GN=CYP77A1_1 PE=3 SV=1","Nicotiana attenuata",27.7,"A0A314KMX0","UNIPROT",0.277,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"345","Cytochrome P450 77A1-like OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_031979 PE=3 SV=1","Pyrus ussuriensis x Pyrus communis",27.7,"A0A5N5F0A4","UNIPROT",0.277,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"346","Cytochrome P450 77A3-like OS=Raphanus sativus OX=3726 GN=LOC108821821 PE=3 SV=1","Raphanus sativus",27.6,"A0A6J0KTA7","UNIPROT",0.276,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"347","Cytochrome P450 2U1-like isoform X4 OS=Branchiostoma floridae OX=7739 GN=LOC118413157 PE=3 SV=1","Branchiostoma floridae",27.4,"A0A9J7KXG7","UNIPROT",0.274,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"348","(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaA08g31590D PE=3 SV=1","Brassica napus",27.2,"A0A078JEG5","UNIPROT",0.272,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"349","Cytochrome P450 OS=Marchantia polymorpha OX=3197 GN=MARPO_0132s0024 PE=3 SV=1","Marchantia polymorpha",27.1,"A0A2R6W7W4","UNIPROT",0.271,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"350","Cytochrome P450, putative OS=Ricinus communis OX=3988 GN=RCOM_0905330 PE=3 SV=1","Ricinus communis",27.1,"B9RXP4","UNIPROT",0.271,348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"351","Cytochrome P450 89A2 OS=Apostasia shenzhenica OX=1088818 GN=CYP89A2 PE=3 SV=1","Apostasia shenzhenica",27,"A0A2I0AUI2","UNIPROT",0.27,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
