"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn19.50",9734,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [0.909] | Lysine-specific demethylase 8 [0.091]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","Cupin_8 (PF13621) [1.000] | GATase (PF00117) [0.045]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn19.537",4449,"Protein transport protein Sec24-like [1.000]","Sec23/Sec24 protein transport family protein","Sec23_helical (PF04815) [0.912] | Sec23_trunk (PF04811) [0.912] | zf-Sec23_Sec24 (PF04810) [0.912] | Sec23_BS (PF08033) [0.912] | Gelsolin (PF00626) [0.353]","zinc ion binding (GO:0008270) [0.912]","intracellular protein transport (GO:0006886) [1.000] | ER to Golgi vesicle-mediated transport (GO:0006888) [1.000]","3"
"Pn19.582",4174,"zinc ion binding [0.629] | E3 ubiquitin-protein ligase CHFR [0.286] | Polycomb complex protein BMI-1-A [0.057] | Polycomb complex protein BMI-1-B [0.029]","zinc ion binding","TPR_12 (PF13424) [0.686] | zf-C3HC4_3 (PF13920) [0.057]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn19.603",1522,"Auxin-responsive protein IAA17 [0.541] | Auxin-responsive protein IAA16 [0.164] | Auxin-responsive protein IAA30 [0.148] | Auxin-responsive protein IAA13 [0.082] | Auxin-responsive protein IAA7 [0.033] | Auxin-responsive protein IAA14 [0.033]","indole-3-acetic acid 7 | indoleacetic acid-induced protein 16 | indole-3-acetic acid inducible 14","AUX_IAA (PF02309) [1.000]","NULL / Representative annotation below 0.1%","regulation of transcription, DNA-templated (GO:0006355) [1.000]","4"
"Pn19.604",1522,"Auxin-responsive protein IAA17 [0.541] | Auxin-responsive protein IAA16 [0.164] | Auxin-responsive protein IAA30 [0.148] | Auxin-responsive protein IAA13 [0.082] | Auxin-responsive protein IAA7 [0.033] | Auxin-responsive protein IAA14 [0.033]","indole-3-acetic acid 7 | indoleacetic acid-induced protein 16 | indole-3-acetic acid inducible 14","AUX_IAA (PF02309) [1.000]","NULL / Representative annotation below 0.1%","regulation of transcription, DNA-templated (GO:0006355) [1.000]","4"
"Pn19.619",758,"alpha/beta-Hydrolases superfamily protein [0.988] | Phospholipase A1-II 3 [0.012]","alpha/beta-Hydrolases superfamily protein","Lipase_3 (PF01764) [1.000]","triglyceride lipase activity (GO:0004806) [1.000]","lipid metabolic process (GO:0006629) [1.000]","2"
"Pn19.626",278,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF247 (PF03140) [1.000] | Peptidase_C97 (PF05903) [0.008]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn19.633",2459,"Quinone oxidoreductase [0.667] | Oxidoreductase, zinc-binding dehydrogenase family protein [0.333]","Oxidoreductase, zinc-binding dehydrogenase family protein","ADH_zinc_N_2 (PF13602) [0.979] | ADH_N (PF08240) [0.938] | ADH_zinc_N (PF00107) [0.021]","oxidoreductase activity (GO:0016491) [0.938] | zinc ion binding (GO:0008270) [0.021]","oxidation-reduction process (GO:0055114) [0.938]","4"
"Pn19.651",758,"alpha/beta-Hydrolases superfamily protein [0.988] | Phospholipase A1-II 3 [0.012]","alpha/beta-Hydrolases superfamily protein","Lipase_3 (PF01764) [1.000]","triglyceride lipase activity (GO:0004806) [1.000]","lipid metabolic process (GO:0006629) [1.000]","2"
"Pn19.658",278,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF247 (PF03140) [1.000] | Peptidase_C97 (PF05903) [0.008]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn19.664",2459,"Quinone oxidoreductase [0.667] | Oxidoreductase, zinc-binding dehydrogenase family protein [0.333]","Oxidoreductase, zinc-binding dehydrogenase family protein","ADH_zinc_N_2 (PF13602) [0.979] | ADH_N (PF08240) [0.938] | ADH_zinc_N (PF00107) [0.021]","oxidoreductase activity (GO:0016491) [0.938] | zinc ion binding (GO:0008270) [0.021]","oxidation-reduction process (GO:0055114) [0.938]","5"
"Pn19.678",8401,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","TAF1_subA (PF14929) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn19.70",8208,"50S ribosomal protein L36 [0.880] | Ribosomal protein L36 [0.120]","Ribosomal protein L36","Ribosomal_L36 (PF00444) [1.000]","structural constituent of ribosome (GO:0003735) [1.000]","translation (GO:0006412) [1.000]","2"
"Pn19.71",3669,"Pentatricopeptide repeat-containing protein [1.000]","Tetratricopeptide repeat (TPR)-like superfamily protein","DYW_deaminase (PF14432) [0.947] | PPR (PF01535) [0.789] | PPR_2 (PF13041) [0.368] | PPR_3 (PF13812) [0.316] | Ribosomal_S3_C (PF00189) [0.026] | KH_2 (PF07650) [0.026] | SATase_N (PF06426) [0.026]","RNA binding (GO:0003723) [0.026] | serine O-acetyltransferase activity (GO:0009001) [0.026] | structural constituent of ribosome (GO:0003735) [0.026]","translation (GO:0006412) [0.026] | cysteine biosynthetic process from serine (GO:0006535) [0.026]","2"
"Pn19.754",8401,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","TAF1_subA (PF14929) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn19.769",8401,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","TAF1_subA (PF14929) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn19.782",2476,"basic leucine zipper 25 [0.792] | basic leucine zipper 9 [0.062] | Basic leucine zipper 63 [0.042] | Basic leucine zipper 10 [0.042] | Basic-leucine zipper (bZIP) transcription factor family protein [0.021] | Pentatricopeptide repeat-containing protein [0.021]","bZIP transcription factor family protein | basic leucine zipper 25","bZIP_1 (PF00170) [0.979] | bZIP_C (PF12498) [0.958] | PPR (PF01535) [0.021] | PPR_2 (PF13041) [0.021]","sequence-specific DNA binding (GO:0043565) [0.979] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.979]","regulation of transcription, DNA-templated (GO:0006355) [0.979]","3"
"Pn19.786",44,"cysteine-rich RLK (RECEPTOR-like protein kinase) 10 [0.260] | cysteine-rich RLK (RECEPTOR-like protein kinase) 25 [0.179] | Cysteine-rich receptor-like protein kinase 10 [0.063] | cysteine-rich RLK (RECEPTOR-like protein kinase) 29 [0.058] | Cysteine-rich receptor-like protein kinase 29 [0.051] | cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [0.051] | Cysteine-rich receptor-like protein kinase 25 [0.040] | receptor kinase 1 [0.028] | Cysteine-rich receptor-like protein kinase 26 [0.025] | cysteine-rich RLK (RECEPTOR-like protein kinase) 26 [0.025] | cysteine-rich RLK (RECEPTOR-like protein kinase) 11 [0.020] | cysteine-rich RLK (RECEPTOR-like protein kinase) 20 [0.018] | Cysteine-rich receptor-like protein kinase 8 [0.015] | cysteine-rich RLK (RECEPTOR-like protein kinase) 34 [0.015] | receptor kinase 2 [0.013] | cysteine-rich RLK (RECEPTOR-like protein kinase) 32 [0.013] | cysteine-rich RLK (RECEPTOR-like protein kinase) 14 [0.010] | cysteine-rich RLK (RECEPTOR-like protein kinase) 18 [0.010] | cysteine-rich RLK (RECEPTOR-like protein kinase) 4 [0.008] | cysteine-rich RLK (RECEPTOR-like protein kinase) 21 [0.008] | cysteine-rich RLK (RECEPTOR-like protein kinase) 19 [0.008] | cysteine-rich RLK (RECEPTOR-like protein kinase) 41 [0.008] | receptor kinase 3 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 27 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 5 [0.005] | Cysteine-rich receptor-like protein kinase 41 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 6 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 22 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 23 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 13 [0.005] | cysteine-rich RLK (RECEPTOR-like protein kinase) 15 [0.005] | Leucine-rich repeat transmembrane protein kinase [0.003] | Cysteine-rich receptor-like protein kinase 24 [0.003] | cysteine-rich RLK (RECEPTOR-like protein kinase) 30 [0.003] | cysteine-rich RLK (RECEPTOR-like protein kinase) 33 [0.003] | Cysteine-rich receptor-like protein kinase 11 [0.003] | cysteine-rich RLK (RECEPTOR-like protein kinase) 7 [0.003] | cysteine-rich RLK (RECEPTOR-like protein kinase) 12 [0.003] | Cysteine-rich receptor-like protein kinase 28 [0.003] | Cysteine-rich receptor-like protein kinase 19 [0.003] | cysteine-rich RLK (RECEPTOR-like protein kinase) 31 [0.003] | Cysteine-rich repeat secretory protein 38 [0.003] | cysteine-rich RLK (RECEPTOR-like protein kinase) 28 [0.003]","cysteine-rich RLK (RECEPTOR-like protein kinase) 21 | cysteine-rich RLK (RECEPTOR-like protein kinase) 19 | cysteine-rich RLK (RECEPTOR-like protein kinase) 7 | cysteine-rich RLK (RECEPTOR-like protein kinase) 34 | cysteine-rich RLK (RECEPTOR-like protein kinase) 10 | cysteine-rich RLK (RECEPTOR-like protein kinase) 41 | cysteine-rich RLK (RECEPTOR-like protein kinase) 12 | cysteine-rich RLK (RECEPTOR-like protein kinase) 8 | cysteine-rich RLK (RECEPTOR-like protein kinase) 29 | cysteine-rich RLK (RECEPTOR-like protein kinase) 20 | cysteine-rich RLK (RECEPTOR-like protein kinase) 14 | cysteine-rich RLK (RECEPTOR-like protein kinase) 11 | cysteine-rich RLK (RECEPTOR-like protein kinase) 25 | cysteine-rich RLK (RECEPTOR-like protein kinase) 22 | cysteine-rich RLK (RECEPTOR-like protein kinase) 4 | cysteine-rich RLK (RECEPTOR-like protein kinase) 23 | cysteine-rich RLK (RECEPTOR-like protein kinase) 18 | cysteine-rich RLK (RECEPTOR-like protein kinase) 5 | cysteine-rich RLK (RECEPTOR-like protein kinase) 32 | cysteine-rich RLK (RECEPTOR-like protein kinase) 13 | cysteine-rich RLK (RECEPTOR-like protein kinase) 30 | cysteine-rich RLK (RECEPTOR-like protein kinase) 31 | cysteine-rich RLK (RECEPTOR-like protein kinase) 26 | cysteine-rich RLK (RECEPTOR-like protein kinase) 15 | kinases;protein kinases | cysteine-rich RLK (RECEPTOR-like protein kinase) 28 | cysteine-rich RLK (RECEPTOR-like protein kinase) 33 | cysteine-rich RLK (RECEPTOR-like protein kinase) 6","Stress-antifung (PF01657) [0.937] | Pkinase_Tyr (PF07714) [0.566] | Pkinase (PF00069) [0.447] | DUF3403 (PF11883) [0.051] | Rep_fac-A_C (PF08646) [0.003] | LRR_1 (PF00560) [0.003] | LRRNT_2 (PF08263) [0.003] | LRR_4 (PF12799) [0.003] | RVT_2 (PF07727) [0.003] | H_PPase (PF03030) [0.003]","protein kinase activity (GO:0004672) [0.995] | ATP binding (GO:0005524) [0.447] | protein serine/threonine kinase activity (GO:0004674) [0.051] | protein binding (GO:0005515) [0.003] | inorganic diphosphatase activity (GO:0004427) [0.003] | hydrogen-translocating pyrophosphatase activity (GO:0009678) [0.003]","protein phosphorylation (GO:0006468) [0.995] | proton transport (GO:0015992) [0.003]","5"
"Pn19.787",847,"UDP-Glycosyltransferase superfamily protein [1.000]","Unkown protein(s) / No TAIR description(s)","UDPGT (PF00201) [1.000]","transferase activity, transferring hexosyl groups (GO:0016758) [1.000]","metabolic process (GO:0008152) [1.000]","5"
"Pn19.788",4615,"D6 protein kinase like 2 [0.788] | D6 protein kinase [0.121] | Protein kinase superfamily protein [0.061] | D6 protein kinase like 1 [0.030]","AGC kinase 1.5 | root hair specific 3 | AGC kinase 1.7","Pkinase (PF00069) [1.000]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000]","protein phosphorylation (GO:0006468) [1.000]","2"
"Pn19.802",32,"Subtilase family protein [0.573] | Subtilisin-like serine endopeptidase family protein [0.232] | subtilase family protein [0.159] | subtilase 4.12 [0.024] | subtilase 4.13 [0.004] | subtilase 3.12 [0.004] | ubiquitin-conjugating enzyme 32 [0.004]","Subtilase family protein | Subtilisin-like serine endopeptidase family protein | subtilase family protein | subtilase 4.13 | subtilase 3.12 | subtilase 4.12 | xylem serine peptidase 1","Peptidase_S8 (PF00082) [0.994] | Inhibitor_I9 (PF05922) [0.888] | PA (PF02225) [0.601] | UQ_con (PF00179) [0.004] | Ribosomal_L11 (PF00298) [0.002] | Ank_2 (PF12796) [0.002] | Ank (PF00023) [0.002] | Phi_1 (PF04674) [0.002] | Ribosomal_L11_N (PF03946) [0.002] | mTERF (PF02536) [0.002] | RVT_2 (PF07727) [0.002] | HI0933_like (PF03486) [0.002] | Sin_N (PF04801) [0.002] | BTB (PF00651) [0.002] | Nucleoside_tran (PF01733) [0.002]","serine-type endopeptidase activity (GO:0004252) [0.994] | identical protein binding (GO:0042802) [0.888] | protein binding (GO:0005515) [0.004] | acid-amino acid ligase activity (GO:0016881) [0.004] | DNA-directed RNA polymerase activity (GO:0003899) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | nucleoside transmembrane transporter activity (GO:0005337) [0.002]","proteolysis (GO:0006508) [0.994] | negative regulation of catalytic activity (GO:0043086) [0.888] | translation (GO:0006412) [0.002] | transport (GO:0006810) [0.002] | transcription, DNA-templated (GO:0006351) [0.002]","2"
"Pn19.830",12407,"Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [1.000]","Unkown protein(s) / No TAIR description(s)","ENT (PF03735) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn19.831",2543,"NAD(P)-binding Rossmann-fold superfamily protein [0.979] | 3-oxoacyl-[acyl-carrier-protein] reductase FabG [0.021]","NAD(P)-binding Rossmann-fold superfamily protein","adh_short_C2 (PF13561) [0.596] | adh_short (PF00106) [0.447]","oxidoreductase activity (GO:0016491) [0.447]","metabolic process (GO:0008152) [0.447]","5"
"Pn19.836",8377,"NDH-dependent cyclic electron flow 5 [1.000]","NDH-dependent cyclic electron flow 5","Aldose_epim (PF01263) [0.042]","isomerase activity (GO:0016853) [0.042]","carbohydrate metabolic process (GO:0005975) [0.042]","6"
"Pn19.839",1682,"Early light-induced protein 1, chloroplastic [0.466] | Early light-induced protein, chloroplastic [0.466] | Early light-induced protein 2, chloroplastic [0.069]","Chlorophyll A-B binding family protein","Chloroa_b-bind (PF00504) [0.983]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn19.879",4948,"ACT domain repeat 8 [1.000]","ACT domain repeat 8","ACT (PF01842) [1.000] | ACT_6 (PF13740) [0.031] | DUF296 (PF03479) [0.031]","amino acid binding (GO:0016597) [1.000]","metabolic process (GO:0008152) [1.000]","5"
"Pn19.89",40,"Linoleate 9S-lipoxygenase 6 [0.167] | lipoxygenase 3 [0.153] | Linoleate 9S-lipoxygenase 1 [0.121] | Lipoxygenase 2, chloroplastic [0.111] | Linoleate 9S-lipoxygenase A [0.068] | urease [0.061] | DNA polymerase delta catalytic subunit [0.053] | Lipoxygenase 7, chloroplastic [0.046] | Linoleate 9S-lipoxygenase [0.044] | Lipoxygenase 2.3, chloroplastic [0.029] | Lipoxygenase 6, chloroplastic [0.027] | Linoleate 9S-lipoxygenase 2 [0.027] | Linoleate 9S-lipoxygenase-4 [0.024] | DNA polymerase zeta catalytic subunit [0.019] | Linoleate 9S-lipoxygenase B [0.017] | Urease subunit alpha [0.012] | lipoxygenase 2 [0.012] | Lipoxygenase 3, chloroplastic [0.005] | Lipoxygenase 2.2, chloroplastic [0.002] | Lipoxygenase 2.1, chloroplastic [0.002]","PLAT/LH2 domain-containing lipoxygenase family protein | recovery protein 3 | lipoxygenase 2 | urease | lipoxygenase 3 | lipoxygenase 1","Lipoxygenase (PF00305) [0.857] | PLAT (PF01477) [0.729] | Amidohydro_1 (PF01979) [0.068] | Urease_alpha (PF00449) [0.065] | Urease_beta (PF00699) [0.061] | Urease_gamma (PF00547) [0.058] | DNA_pol_B_exo1 (PF03104) [0.053] | DNA_pol_B (PF00136) [0.053] | zf-C4pol (PF14260) [0.051] | rve (PF00665) [0.002] | Herpes_Helicase (PF02689) [0.002] | RVT_1 (PF00078) [0.002] | MCD (PF05292) [0.002] | Retrotrans_gag (PF03732) [0.002] | Peptidase_C48 (PF02902) [0.002] | Chal_sti_synt_N (PF00195) [0.002] | Chromo (PF00385) [0.002] | Chal_sti_synt_C (PF02797) [0.002] | RVP_2 (PF08284) [0.002] | Ferritin_2 (PF13668) [0.002]","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702) [0.857] | metal ion binding (GO:0046872) [0.857] | protein binding (GO:0005515) [0.729] | hydrolase activity (GO:0016787) [0.068] | nickel cation binding (GO:0016151) [0.065] | urease activity (GO:0009039) [0.065] | DNA-directed DNA polymerase activity (GO:0003887) [0.058] | nucleotide binding (GO:0000166) [0.053] | DNA binding (GO:0003677) [0.053] | RNA binding (GO:0003723) [0.002] | cysteine-type peptidase activity (GO:0008234) [0.002] | RNA-directed DNA polymerase activity (GO:0003964) [0.002] | helicase activity (GO:0004386) [0.002] | transferase activity, transferring acyl groups (GO:0016746) [0.002] | ATP binding (GO:0005524) [0.002] | malonyl-CoA decarboxylase activity (GO:0050080) [0.002]","oxidation-reduction process (GO:0055114) [0.857] | urea metabolic process (GO:0019627) [0.065] | DNA replication (GO:0006260) [0.058] | urea catabolic process (GO:0043419) [0.058] | fatty acid biosynthetic process (GO:0006633) [0.002] | proteolysis (GO:0006508) [0.002] | DNA integration (GO:0015074) [0.002] | RNA-dependent DNA replication (GO:0006278) [0.002] | biosynthetic process (GO:0009058) [0.002]","4"
"Pn19.93",806,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | jasmonate-regulated gene 21","2OG-FeII_Oxy (PF03171) [1.000] | DIOX_N (PF14226) [0.951]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","2"
"Pn19.958",11402,"serine carboxypeptidase-like 46 [0.667] | serine carboxypeptidase-like 45 [0.267] | serine carboxypeptidase-like 44 [0.067]","Unkown protein(s) / No TAIR description(s)","Peptidase_S10 (PF00450) [1.000]","serine-type carboxypeptidase activity (GO:0004185) [1.000]","proteolysis (GO:0006508) [1.000]","1"
"Pn19.985",1953,"HXXXD-type acyl-transferase family protein [1.000]","HXXXD-type acyl-transferase family protein | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase","Transferase (PF02458) [1.000]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn19.991",1953,"HXXXD-type acyl-transferase family protein [1.000]","HXXXD-type acyl-transferase family protein | acetyl CoA:(Z)-3-hexen-1-ol acetyltransferase","Transferase (PF02458) [1.000]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn19.996",7960,"tRNA (guanine-N-7) methyltransferase [1.000]","tRNA (guanine-N-7) methyltransferase","Methyltransf_4 (PF02390) [0.960]","tRNA (guanine-N7-)-methyltransferase activity (GO:0008176) [0.960]","tRNA modification (GO:0006400) [0.960]","3"
"Pn2.101",1090,"phototropin 1 [0.535] | phototropin 2 [0.437] | Protein kinase superfamily protein [0.028]","phototropin 1 | phototropin 2","PAS_9 (PF13426) [0.972] | Pkinase (PF00069) [0.915]","signal transducer activity (GO:0004871) [0.972] | ATP binding (GO:0005524) [0.915] | protein kinase activity (GO:0004672) [0.915]","signal transduction (GO:0007165) [0.972] | protein phosphorylation (GO:0006468) [0.915]","6"
"Pn2.1021",1998,"Ion channel DMI1 [0.472] | Ion channel CASTOR [0.434] | Ion channel POLLUX [0.094]","Unkown protein(s) / No TAIR description(s)","DUF1012 (PF06241) [0.906] | TrkA_N (PF02254) [0.038]","NULL / Representative annotation below 0.1%","potassium ion transport (GO:0006813) [0.038]","3"
"Pn2.1087",4530,"Molybdenum cofactor sulfurase family protein [1.000]","Molybdenum cofactor sulfurase family protein","MOSC (PF03473) [0.971] | MOSC_N (PF03476) [0.941]","pyridoxal phosphate binding (GO:0030170) [0.971] | molybdenum ion binding (GO:0030151) [0.971] | catalytic activity (GO:0003824) [0.971]","NULL / Representative annotation below 0.1%","2"
"Pn2.1092",4778,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [1.000]","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","Hydrophob_seed (PF14547) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","6"
"Pn2.1097",339,"Zinc transporter 5 [0.301] | Zinc transporter 1 [0.171] | Zinc transporter 9 [0.154] | Zinc transporter 3 [0.130] | Zinc transporter 10 [0.073] | Zinc transporter 7 [0.065] | Zinc transporter 8 [0.049] | zinc transporter 5 precursor [0.016] | zinc transporter 1 precursor [0.016] | zinc transporter 4 precursor [0.016] | zinc transporter 3 precursor [0.008]","zinc transporter 1 precursor | zinc transporter 4 precursor | zinc transporter 5 precursor | zinc transporter 12 precursor | iron regulated transporter 3 | ZIP metal ion transporter family | zinc transporter 3 precursor","Zip (PF02535) [1.000]","metal ion transmembrane transporter activity (GO:0046873) [1.000]","metal ion transport (GO:0030001) [1.000] | transmembrane transport (GO:0055085) [1.000]","5"
"Pn2.1113",1258,"60 kDa chaperonin 1 [0.561] | 60 kDa chaperonin 2 [0.439]","TCP-1/cpn60 chaperonin family protein | chaperonin-60alpha","Cpn60_TCP1 (PF00118) [1.000] | GCV_H (PF01597) [0.015]","ATP binding (GO:0005524) [1.000]","cellular protein metabolic process (GO:0044267) [1.000] | glycine catabolic process (GO:0006546) [0.015]","3"
"Pn2.1128",6777,"Molybdenum cofactor sulfurase [1.000]","molybdenum cofactor sulfurase (LOS5) (ABA3)","MOSC (PF03473) [0.852] | Aminotran_5 (PF00266) [0.852] | MOSC_N (PF03476) [0.778]","pyridoxal phosphate binding (GO:0030170) [0.852] | molybdenum ion binding (GO:0030151) [0.852] | catalytic activity (GO:0003824) [0.852]","metabolic process (GO:0008152) [0.852]","3"
"Pn2.1165",239,"Homeobox-leucine zipper protein ATHB-14 [0.468] | Homeobox-leucine zipper protein ATHB-15 [0.348] | Homeobox-leucine zipper protein ATHB-8 [0.078] | Homeobox-leucine zipper protein HOX9 [0.043] | Homeobox-leucine zipper protein HOX10 [0.021] | Homeobox-leucine zipper protein ATHB-9 [0.014] | Homeobox-leucine zipper protein HOX32 [0.014] | Homeobox-leucine zipper protein HOX33 [0.007] | Homeobox-leucine zipper protein HOX29 [0.007]","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein | homeobox gene 8","START (PF01852) [0.979] | MEKHLA (PF08670) [0.908] | Homeobox (PF00046) [0.908] | KxDL (PF10241) [0.007] | bZIP_1 (PF00170) [0.007]","lipid binding (GO:0008289) [0.979] | sequence-specific DNA binding (GO:0043565) [0.908] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.908]","regulation of transcription, DNA-templated (GO:0006355) [0.908]","3"
"Pn2.1215",239,"Homeobox-leucine zipper protein ATHB-14 [0.468] | Homeobox-leucine zipper protein ATHB-15 [0.348] | Homeobox-leucine zipper protein ATHB-8 [0.078] | Homeobox-leucine zipper protein HOX9 [0.043] | Homeobox-leucine zipper protein HOX10 [0.021] | Homeobox-leucine zipper protein ATHB-9 [0.014] | Homeobox-leucine zipper protein HOX32 [0.014] | Homeobox-leucine zipper protein HOX33 [0.007] | Homeobox-leucine zipper protein HOX29 [0.007]","Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein | homeobox gene 8","START (PF01852) [0.979] | MEKHLA (PF08670) [0.908] | Homeobox (PF00046) [0.908] | KxDL (PF10241) [0.007] | bZIP_1 (PF00170) [0.007]","lipid binding (GO:0008289) [0.979] | sequence-specific DNA binding (GO:0043565) [0.908] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.908]","regulation of transcription, DNA-templated (GO:0006355) [0.908]","3"
"Pn2.1245",13509,"ethylene-responsive nuclear protein / ethylene-regulated nuclear protein (ERT2) [0.857]","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn2.1272",7225,"phloem protein 2-A9 [1.000]","phloem protein 2-A10 | phloem protein 2-A9","PP2 (PF14299) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn2.1273",1099,"Cysteine/Histidine-rich C1 domain family protein [0.535] | phloem protein 2-A1 [0.394] | phloem protein 2-A4 [0.056] | phloem protein 2 A5 [0.014]","Cysteine/Histidine-rich C1 domain family protein | lectin-related | phloem protein 2-A1","PP2 (PF14299) [0.577] | C1_3 (PF07649) [0.451] | C1_2 (PF03107) [0.211] | Methyltransf_PK (PF05891) [0.014] | Barwin (PF00967) [0.014]","protein-disulfide reductase activity (GO:0047134) [0.451] | methyltransferase activity (GO:0008168) [0.014]","oxidation-reduction process (GO:0055114) [0.451] | defense response to bacterium (GO:0042742) [0.014] | defense response to fungus (GO:0050832) [0.014]","5"
"Pn2.1282",1574,"ubiquitin conjugating enzyme 4 [0.517] | ubiquitin-conjugating enzyme 5 [0.483]","ubiquitin-conjugating enzyme 5 | ubiquitin conjugating enzyme 4","UQ_con (PF00179) [1.000]","acid-amino acid ligase activity (GO:0016881) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn2.1291",339,"Zinc transporter 5 [0.301] | Zinc transporter 1 [0.171] | Zinc transporter 9 [0.154] | Zinc transporter 3 [0.130] | Zinc transporter 10 [0.073] | Zinc transporter 7 [0.065] | Zinc transporter 8 [0.049] | zinc transporter 5 precursor [0.016] | zinc transporter 1 precursor [0.016] | zinc transporter 4 precursor [0.016] | zinc transporter 3 precursor [0.008]","zinc transporter 1 precursor | zinc transporter 4 precursor | zinc transporter 5 precursor | zinc transporter 12 precursor | iron regulated transporter 3 | ZIP metal ion transporter family | zinc transporter 3 precursor","Zip (PF02535) [1.000]","metal ion transmembrane transporter activity (GO:0046873) [1.000]","metal ion transport (GO:0030001) [1.000] | transmembrane transport (GO:0055085) [1.000]","5"
"Pn2.1293",339,"Zinc transporter 5 [0.301] | Zinc transporter 1 [0.171] | Zinc transporter 9 [0.154] | Zinc transporter 3 [0.130] | Zinc transporter 10 [0.073] | Zinc transporter 7 [0.065] | Zinc transporter 8 [0.049] | zinc transporter 5 precursor [0.016] | zinc transporter 1 precursor [0.016] | zinc transporter 4 precursor [0.016] | zinc transporter 3 precursor [0.008]","zinc transporter 1 precursor | zinc transporter 4 precursor | zinc transporter 5 precursor | zinc transporter 12 precursor | iron regulated transporter 3 | ZIP metal ion transporter family | zinc transporter 3 precursor","Zip (PF02535) [1.000]","metal ion transmembrane transporter activity (GO:0046873) [1.000]","metal ion transport (GO:0030001) [1.000] | transmembrane transport (GO:0055085) [1.000]","4"
