"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn22.856",5806,"Heavy metal transport/detoxification superfamily protein [0.600] | Copper transport protein family [0.400]","Copper transport protein family","HMA (PF00403) [0.567]","metal ion binding (GO:0046872) [0.567]","metal ion transport (GO:0030001) [0.567]","3"
"Pn22.966",36,"Potassium transporter family protein [0.661] | potassium transporter 2 [0.134] | potassium transporter 1 [0.089] | NF-X1-type zinc finger protein NFXL1 [0.064] | Potassium transporter 1 [0.011] | Potassium transporter 18 [0.007] | Potassium transporter 10 [0.007] | Potassium transporter 9 [0.005] | Potassium transporter 19 [0.005] | Potassium transporter 5 [0.005] | Potassium transporter 11 [0.005] | Potassium transporter 27 [0.005] | Potassium transporter 20 [0.002] | Potassium transporter 21 [0.002]","Potassium transporter family protein | K+ uptake permease 10 | K+ uptake permease 6 | high affinity K+ transporter 5 | K+ uptake permease 5 | K+ uptake permease 7 | potassium transporter 2 | K+ uptake permease 9 | NF-X-like 1 | K+ uptake permease 11 | K+ uptake transporter 3 | potassium transporter 1","K_trans (PF02705) [0.936] | zf-NF-X1 (PF01422) [0.039] | R3H (PF01424) [0.005] | KNOX2 (PF03791) [0.002] | NUDIX (PF00293) [0.002] | UBN2_2 (PF14227) [0.002] | Pkinase (PF00069) [0.002]","potassium ion transmembrane transporter activity (GO:0015079) [0.936] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.039] | zinc ion binding (GO:0008270) [0.039] | nucleic acid binding (GO:0003676) [0.005] | ATP binding (GO:0005524) [0.002] | protein kinase activity (GO:0004672) [0.002] | hydrolase activity (GO:0016787) [0.002] | DNA binding (GO:0003677) [0.002]","potassium ion transmembrane transport (GO:0071805) [0.936] | regulation of transcription, DNA-templated (GO:0006355) [0.039] | protein phosphorylation (GO:0006468) [0.002]","4"
"Pn23.136",6875,"histone H1-3 [0.593] | winged-helix DNA-binding transcription factor family protein [0.148] | Histone H1 [0.148] | telomere repeat binding factor 1 [0.074]","winged-helix DNA-binding transcription factor family protein","Linker_histone (PF00538) [1.000]","DNA binding (GO:0003677) [1.000]","nucleosome assembly (GO:0006334) [1.000]","2"
"Pn23.257",95,"Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004]","Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21","Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004]","magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004]","metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004]","3"
"Pn23.267",95,"Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004]","Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21","Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004]","magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004]","metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004]","3"
"Pn23.268",95,"Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004]","Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21","Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004]","magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004]","metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004]","3"
"Pn23.272",95,"Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004]","Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21","Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004]","magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004]","metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004]","3"
"Pn23.281",95,"Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004]","Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21","Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004]","magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004]","metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004]","4"
"Pn23.303",1029,"Fatty acyl-CoA reductase 3 [0.507] | Fatty acyl-CoA reductase 1 [0.452] | Fatty acyl-CoA reductase 8 [0.041]","fatty acid reductase 8 | fatty acid reductase 5 | Jojoba acyl CoA reductase-related male sterility protein | fatty acid reductase 1 | fatty acid reductase 4","NAD_binding_4 (PF07993) [1.000] | Sterile (PF03015) [0.918]","fatty-acyl-CoA reductase (alcohol-forming) activity (GO:0080019) [0.918]","NULL / Representative annotation below 0.1%","3"
"Pn23.339",1029,"Fatty acyl-CoA reductase 3 [0.507] | Fatty acyl-CoA reductase 1 [0.452] | Fatty acyl-CoA reductase 8 [0.041]","fatty acid reductase 8 | fatty acid reductase 5 | Jojoba acyl CoA reductase-related male sterility protein | fatty acid reductase 1 | fatty acid reductase 4","NAD_binding_4 (PF07993) [1.000] | Sterile (PF03015) [0.918]","fatty-acyl-CoA reductase (alcohol-forming) activity (GO:0080019) [0.918]","NULL / Representative annotation below 0.1%","3"
"Pn23.455",330,"Glutaredoxin family protein [0.720] | Got1/Sft2-like vescicle transport protein family [0.280]","Glutaredoxin family protein | Got1/Sft2-like vescicle transport protein family","Glutaredoxin (PF00462) [0.712] | Got1 (PF04178) [0.280] | WPP (PF13943) [0.008] | E1_DerP2_DerF2 (PF02221) [0.008]","electron carrier activity (GO:0009055) [0.712] | protein disulfide oxidoreductase activity (GO:0015035) [0.712]","cell redox homeostasis (GO:0045454) [0.712] | vesicle-mediated transport (GO:0016192) [0.280]","2"
"Pn23.54",8229,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn24.41",349,"Calcium-binding EF-hand family protein [0.475] | Centrin-1 [0.150] | Centrin-2 [0.133] | centrin 2 [0.067] | calmodulin 8 [0.050] | calmodulin 1 [0.042] | Centrin-4 [0.017] | Protein yippee-like [0.008] | calmodulin 5 [0.008] | calmodulin 9 [0.008] | calmodulin 4 [0.008] | calmodulin 6 [0.008] | DnaJ homolog subfamily C member 2 [0.008] | Calcium-binding protein KIC [0.008] | Inosine triphosphate pyrophosphatase family protein [0.008]","Calcium-binding EF-hand family protein | pinoid-binding protein 1","EF-hand_8 (PF13833) [1.000] | Yippee-Mis18 (PF03226) [0.008] | Myb_DNA-binding (PF00249) [0.008]","chromatin binding (GO:0003682) [0.008]","NULL / Representative annotation below 0.1%","2"
"Pn24.624",10745,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF4079 (PF13301) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn24.683",278,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF247 (PF03140) [1.000] | Peptidase_C97 (PF05903) [0.008]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn24.79",5445,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [0.967]","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","LEA_2 (PF03168) [0.600] | RAMP4 (PF06624) [0.033]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn26.121",1924,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [0.963] | RVT_1 (PF00078) [0.019]","protein dimerization activity (GO:0046983) [0.963] | RNA binding (GO:0003723) [0.019] | RNA-directed DNA polymerase activity (GO:0003964) [0.019]","RNA-dependent DNA replication (GO:0006278) [0.019]","4"
"Pn26.260",6706,"NAD(P)-binding Rossmann-fold superfamily protein [1.000]","NAD(P)-binding Rossmann-fold superfamily protein","Epimerase (PF01370) [1.000]","coenzyme binding (GO:0050662) [1.000] | catalytic activity (GO:0003824) [1.000]","cellular metabolic process (GO:0044237) [1.000]","3"
"Pn26.34",10568,"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [1.000]","Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family","LEA_2 (PF03168) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn26.37",985,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","2OG-FeII_Oxy (PF03171) [1.000] | DIOX_N (PF14226) [0.987]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn26.39",5943,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [1.000]","protein dimerization activity (GO:0046983) [1.000]","NULL / Representative annotation below 0.1%","1"
"Pn26.448",723,"FASCICLIN-like arabinogalactan-protein 11 [0.512] | FASCICLIN-like arabinogalactan 6 [0.326] | FASCICLIN-like arabinogalactan-protein 12 [0.163]","FASCICLIN-like arabinogalactan-protein 11 | FASCICLIN-like arabinogalactan 6 | FASCICLIN-like arabinoogalactan 9 | FASCICLIN-like arabinogalactan protein 13 precursor | FASCICLIN-like arabinogalactan-protein 12","Fasciclin (PF02469) [0.988]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn26.699",67,"C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [1.000]","C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | Calcium-dependent lipid-binding (CaLB domain) plant phosphoribosyltransferase family protein | C2 domain-containing protein","C2 (PF00168) [1.000] | PRT_C (PF08372) [0.976] | DUF3292 (PF11696) [0.010] | GSHPx (PF00255) [0.003] | Exostosin (PF03016) [0.003] | Dimer_Tnp_hAT (PF05699) [0.003] | Retrotrans_gag (PF03732) [0.003]","protein binding (GO:0005515) [1.000] | glutathione peroxidase activity (GO:0004602) [0.003] | protein dimerization activity (GO:0046983) [0.003]","oxidation-reduction process (GO:0055114) [0.003] | response to oxidative stress (GO:0006979) [0.003]","2"
"Pn26.718",39090,"Wound-responsive family protein [0.500]","Unkown protein(s) / No TAIR description(s)","DUF3774 (PF12609) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn26.738",4523,"Oxygen-evolving enhancer protein 3-1, chloroplastic [0.647] | Oxygen-evolving enhancer protein 3-2, chloroplastic [0.235] | Oxygen-evolving enhancer protein 3, chloroplastic [0.059] | PsbQ-like protein 2, chloroplastic [0.059]","PsbQ-like 1","PsbQ (PF05757) [1.000]","calcium ion binding (GO:0005509) [1.000]","photosynthesis (GO:0015979) [1.000]","1"
"Pn26.76",1049,"Heavy metal transport/detoxification superfamily protein [0.795] | Copper transport protein family [0.164]","Heavy metal transport/detoxification superfamily protein  | Copper transport protein family","HMA (PF00403) [0.904]","metal ion binding (GO:0046872) [0.904]","metal ion transport (GO:0030001) [0.904]","5"
"Pn27.105",2796,"DNA-directed RNA polymerase subunit alpha [0.644] | 30S ribosomal protein S11, chloroplastic [0.356]","RNA polymerase subunit alpha | ribosomal protein S11","RNA_pol_L (PF01193) [0.511] | Ribosomal_S11 (PF00411) [0.489] | RNA_pol_A_bac (PF01000) [0.444] | RNA_pol_A_CTD (PF03118) [0.400] | Ribosomal_L36 (PF00444) [0.022] | HSP70 (PF00012) [0.022] | Ribosomal_S8 (PF00410) [0.022]","DNA-directed RNA polymerase activity (GO:0003899) [0.533] | protein dimerization activity (GO:0046983) [0.533] | structural constituent of ribosome (GO:0003735) [0.489] | DNA binding (GO:0003677) [0.400]","transcription, DNA-templated (GO:0006351) [0.622] | translation (GO:0006412) [0.489]","6"
"Pn27.110",8825,"ATP synthase subunit c, chloroplastic [0.625]","ATP synthase subunit C family protein","ATP-synt_C (PF00137) [0.625]","hydrogen ion transmembrane transporter activity (GO:0015078) [0.625]","ATP hydrolysis coupled proton transport (GO:0015991) [0.625]","6"
"Pn27.123",5200,"Apocytochrome f [0.677] | Chloroplast envelope membrane protein [0.323]","CemA-like proton extrusion protein-related | photosynthetic electron transfer A","Apocytochr_F_C (PF01333) [0.613] | CemA (PF03040) [0.419] | Ycf4 (PF02392) [0.032]","iron ion binding (GO:0005506) [0.613] | heme binding (GO:0020037) [0.613] | electron carrier activity (GO:0009055) [0.613]","photosynthesis (GO:0015979) [0.613]","6"
"Pn27.175",8825,"ATP synthase subunit c, chloroplastic [0.625]","ATP synthase subunit C family protein","ATP-synt_C (PF00137) [0.625]","hydrogen ion transmembrane transporter activity (GO:0015078) [0.625]","ATP hydrolysis coupled proton transport (GO:0015991) [0.625]","6"
"Pn27.186",4531,"50S ribosomal protein L14, chloroplastic [0.618] | 30S ribosomal protein S8, chloroplastic [0.382]","ribosomal protein L14 | ribosomal protein S8","Ribosomal_L14 (PF00238) [0.647] | Ribosomal_S8 (PF00410) [0.382] | Ribosomal_L36 (PF00444) [0.059] | Ribosomal_L16 (PF00252) [0.059] | Ribosomal_S11 (PF00411) [0.029] | eIF-1a (PF01176) [0.029]","structural constituent of ribosome (GO:0003735) [1.000] | RNA binding (GO:0003723) [0.029] | translation initiation factor activity (GO:0003743) [0.029]","translation (GO:0006412) [1.000] | translational initiation (GO:0006413) [0.029]","6"
"Pn27.195",8825,"ATP synthase subunit c, chloroplastic [0.625]","ATP synthase subunit C family protein","ATP-synt_C (PF00137) [0.625]","hydrogen ion transmembrane transporter activity (GO:0015078) [0.625]","ATP hydrolysis coupled proton transport (GO:0015991) [0.625]","6"
"Pn27.211",8825,"ATP synthase subunit c, chloroplastic [0.625]","ATP synthase subunit C family protein","ATP-synt_C (PF00137) [0.625]","hydrogen ion transmembrane transporter activity (GO:0015078) [0.625]","ATP hydrolysis coupled proton transport (GO:0015991) [0.625]","6"
"Pn27.255",11156,"5'-3' exonuclease family protein [0.941] | Protein with RING/U-box and TRAF-like domains [0.059]","5'-3' exonuclease family protein","XPG_I (PF00867) [1.000] | XPG_N (PF00752) [0.824] | Sina (PF03145) [0.059]","nuclease activity (GO:0004518) [1.000]","DNA repair (GO:0006281) [0.824] | multicellular organismal development (GO:0007275) [0.059] | ubiquitin-dependent protein catabolic process (GO:0006511) [0.059]","6"
"Pn27.34",5200,"Apocytochrome f [0.677] | Chloroplast envelope membrane protein [0.323]","CemA-like proton extrusion protein-related | photosynthetic electron transfer A","Apocytochr_F_C (PF01333) [0.613] | CemA (PF03040) [0.419] | Ycf4 (PF02392) [0.032]","iron ion binding (GO:0005506) [0.613] | heme binding (GO:0020037) [0.613] | electron carrier activity (GO:0009055) [0.613]","photosynthesis (GO:0015979) [0.613]","6"
"Pn27.51",5200,"Apocytochrome f [0.677] | Chloroplast envelope membrane protein [0.323]","CemA-like proton extrusion protein-related | photosynthetic electron transfer A","Apocytochr_F_C (PF01333) [0.613] | CemA (PF03040) [0.419] | Ycf4 (PF02392) [0.032]","iron ion binding (GO:0005506) [0.613] | heme binding (GO:0020037) [0.613] | electron carrier activity (GO:0009055) [0.613]","photosynthesis (GO:0015979) [0.613]","6"
"Pn27.52",1784,"Ribulose bisphosphate carboxylase large chain [0.625] | Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta, chloroplastic [0.304] | 30S ribosomal protein S15, chloroplastic [0.071]","ribulose-bisphosphate carboxylases | chloroplast ribosomal protein S15 | acetyl-CoA carboxylase carboxyl transferase subunit beta","RuBisCO_large (PF00016) [0.625] | RuBisCO_large_N (PF02788) [0.393] | Carboxyl_trans (PF01039) [0.143] | Ribosomal_S15 (PF00312) [0.089] | PSI_8 (PF00796) [0.036] | DUF825 (PF05695) [0.018]","magnesium ion binding (GO:0000287) [0.625] | ribulose-bisphosphate carboxylase activity (GO:0016984) [0.393] | ligase activity (GO:0016874) [0.143] | structural constituent of ribosome (GO:0003735) [0.089] | ATP binding (GO:0005524) [0.018]","carbon fixation (GO:0015977) [0.393] | translation (GO:0006412) [0.089] | photosynthesis (GO:0015979) [0.036]","6"
"Pn27.86",8825,"ATP synthase subunit c, chloroplastic [0.625]","ATP synthase subunit C family protein","ATP-synt_C (PF00137) [0.625]","hydrogen ion transmembrane transporter activity (GO:0015078) [0.625]","ATP hydrolysis coupled proton transport (GO:0015991) [0.625]","6"
"Pn28.256",2148,"Dormancy/auxin associated family protein [0.961] | dormancy-associated protein-like 1 [0.039]","Dormancy/auxin associated family protein","Auxin_repressed (PF05564) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn28.295",3605,"growth-regulating factor 5 [0.921] | Growth-regulating factor 1 [0.053] | growth-regulating factor 6 [0.026]","growth-regulating factor 5","WRC (PF08879) [1.000] | QLQ (PF08880) [0.947]","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818) [0.947] | ATP binding (GO:0005524) [0.947]","regulation of transcription, DNA-templated (GO:0006355) [0.947]","2"
"Pn28.347",2219,"C2H2-like zinc finger protein [0.784] | Zinc finger protein 782 [0.078] | indeterminate(ID)-domain 14 [0.059] | Zinc finger protein 613 [0.020] | indeterminate(ID)-domain 16 [0.020] | Zinc finger protein 391 [0.020] | Zinc finger protein 60 [0.020]","C2H2-like zinc finger protein | indeterminate(ID)-domain 14 | indeterminate(ID)-domain 16","zf-C2H2 (PF00096) [0.804] | zf-C2H2_6 (PF13912) [0.039]","metal ion binding (GO:0046872) [0.804]","NULL / Representative annotation below 0.1%","1"
"Pn28.510",1244,"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain [0.343] | High mobility group B protein 15 [0.239] | AT-rich interactive domain-containing protein 2 [0.209] | High mobility group B protein 9 [0.119] | High mobility group B protein 10 [0.090]","HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain","HMG_box (PF00505) [1.000] | ARID (PF01388) [0.910]","DNA binding (GO:0003677) [0.910]","NULL / Representative annotation below 0.1%","3"
"Pn28.76",2712,"alpha/beta-Hydrolases superfamily protein [1.000]","alpha/beta-Hydrolases superfamily protein","DLH (PF01738) [1.000]","hydrolase activity (GO:0016787) [1.000]","NULL / Representative annotation below 0.1%","3"
"Pn28.98",24757,"SKP1-like 12 [0.500] | SKP1-like 11 [0.500]","SKP1-like 12 | SKP1-like 11","Skp1_POZ (PF03931) [1.000] | Skp1 (PF01466) [1.000]","NULL / Representative annotation below 0.1%","ubiquitin-dependent protein catabolic process (GO:0006511) [1.000]","1"
"Pn29.319",14,"Disease resistance protein (CC-NBS-LRR class) family [0.823] | NB-ARC domain-containing disease resistance protein [0.073] | Disease resistance protein [0.027] | disease resistance protein (TIR-NBS-LRR class) [0.026] | Disease resistance protein RGA2 [0.016] | LRR and NB-ARC domains-containing disease resistance protein [0.010] | Disease resistance protein (TIR-NBS-LRR class) family [0.010] | disease resistance protein (TIR-NBS-LRR class), putative [0.006] | Leucine-rich repeat-containing protein 40 [0.001] | Disease resistance protein (TIR-NBS-LRR class) [0.001] | Transmembrane amino acid transporter family protein [0.001] | Leucine-rich repeat protein soc-2 homolog [0.001] | Leucine-rich repeat (LRR) family protein [0.001] | Leucine-rich repeat protein SHOC-2 [0.001]","NB-ARC domain-containing disease resistance protein | LRR and NB-ARC domains-containing disease resistance protein","NB-ARC (PF00931) [0.941] | LRR_1 (PF00560) [0.295] | LRR_8 (PF13855) [0.260] | LRR_7 (PF13504) [0.129] | LRR_4 (PF12799) [0.126] | FNIP (PF05725) [0.007] | TIR (PF01582) [0.007] | Abhydrolase_1 (PF00561) [0.003] | RVT_3 (PF13456) [0.003] | Aa_trans (PF01490) [0.003] | Cystatin (PF00031) [0.001] | UPF0114 (PF03350) [0.001] | WD40 (PF00400) [0.001] | Exo_endo_phos (PF03372) [0.001] | zf-CCHC (PF00098) [0.001] | GIY-YIG (PF01541) [0.001] | UBN2_2 (PF14227) [0.001] | BTB (PF00651) [0.001] | DUF599 (PF04654) [0.001] | LRR_5 (PF13306) [0.001] | DUF1092 (PF06485) [0.001] | zf-BED (PF02892) [0.001]","ADP binding (GO:0043531) [0.941] | protein binding (GO:0005515) [0.303] | cysteine-type endopeptidase inhibitor activity (GO:0004869) [0.001] | nucleic acid binding (GO:0003676) [0.001] | DNA binding (GO:0003677) [0.001] | zinc ion binding (GO:0008270) [0.001]","signal transduction (GO:0007165) [0.007]","4"
"Pn3.1257",464,"cyclin p4;1 [0.333] | cyclin p2;1 [0.229] | cyclin p1;1 [0.219] | Cyclin family protein [0.095] | Cyclin-P3-1 [0.048] | cyclin p4;3 [0.038] | CYCLIN P4;2 [0.029] | Cyclin-P1-1 [0.010]","cyclin p4;1 | cyclin p4;3 | Cyclin family protein | CYCLIN P4;2 | cyclin p2;1 | cyclin p1;1","Cyclin (PF08613) [0.990] | Cyclin_N (PF00134) [0.010]","protein kinase binding (GO:0019901) [0.990]","regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079) [0.990]","4"
"Pn3.1419",5118,"Pectin lyase-like superfamily protein [1.000]","Pectin lyase-like superfamily protein","Glyco_hydro_28 (PF00295) [1.000] | Complex1_LYR (PF05347) [0.032]","polygalacturonase activity (GO:0004650) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000]","3"
"Pn3.1920",275,"EXORDIUM like 2 [0.992] | EXORDIUM like 3 [0.008]","Phosphate-responsive 1 family protein | EXORDIUM like 2","Phi_1 (PF04674) [1.000] | Lipase_3 (PF01764) [0.008]","triglyceride lipase activity (GO:0004806) [0.008]","lipid metabolic process (GO:0006629) [0.008]","2"
"Pn3.198",6074,"E3 ubiquitin-protein ligase makorin [0.931] | zinc finger (CCCH-type/C3HC4-type RING finger) family protein [0.034]","zinc finger (CCCH-type/C3HC4-type RING finger) family protein","zf-CCCH (PF00642) [0.897] | zf-RING_2 (PF13639) [0.690] | zf-C3HC4 (PF00097) [0.241]","metal ion binding (GO:0046872) [0.897] | protein binding (GO:0005515) [0.690] | zinc ion binding (GO:0008270) [0.690]","NULL / Representative annotation below 0.1%","4"
"Pn3.2202",6909,"sequence-specific DNA binding transcription factors [1.000]","sequence-specific DNA binding transcription factors","Myb_DNA-bind_4 (PF13837) [0.963]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn3.2282",4201,"Ornithine decarboxylase [0.971] | HXXXD-type acyl-transferase family protein [0.029]","Unkown protein(s) / No TAIR description(s)","Orn_DAP_Arg_deC (PF00278) [0.971] | Orn_Arg_deC_N (PF02784) [0.971] | Transferase (PF02458) [0.057]","catalytic activity (GO:0003824) [0.971] | transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [0.057]","NULL / Representative annotation below 0.1%","3"
