Unnamed: 0,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,Cluster
Pn2.2489,3593,Glycylpeptide N-tetradecanoyltransferase 1 ,myristoyl-CoA:protein N-myristoyltransferase,NMT ,glycylpeptide N-tetradecanoyltransferase activity ,NULL / Representative annotation below 0.1%,5
Pn2.2491,207,Transducin/WD40 repeat-like superfamily protein ,Transducin/WD40 repeat-like superfamily protein,WD40 ,protein binding ,proteolysis (GO:0006508) [0.007],4
Pn2.2495,1062,MATE efflux family protein ,MATE efflux family protein ,MatE ,drug transmembrane transporter activity ,drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000],1
Pn2.2496,3825,Protein kinase superfamily protein ,Protein kinase superfamily protein,ABC1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.2530,5179,Histone-lysine N-methyltransferase 2A ,homologue of trithorax ,PWWP ,protein binding ,NULL / Representative annotation below 0.1%,3
Pn2.2551,33,Pentatricopeptide repeat-containing protein ,Tetratricopeptide repeat (TPR)-like superfamily protein ,PPR_2 ,ATP binding ,protein phosphorylation (GO:0006468) [0.004] | ATP synthesis coupled proton transport (GO:0015986) [0.002] | ribosome biogenesis (GO:0042254) [0.002] | proteolysis (GO:0006508) [0.002] | translational elongation (GO:0006414) [0.002] | oxidation-reduction process (GO:0055114) [0.002],3
Pn2.257,8349,oxoprolinase 1 ,oxoprolinase 1,Hydantoinase_B ,catalytic activity ,NULL / Representative annotation below 0.1%,5
Pn2.2587,96,Non-specific lipid-transfer protein ,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein ,Tryp_alpha_amyl ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.259,67,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein ,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein ,C2 ,protein binding ,oxidation-reduction process (GO:0055114) [0.003] | response to oxidative stress (GO:0006979) [0.003],5
Pn2.2593,6984,ATP-dependent zinc metalloprotease FtsH ,FTSH protease 11,AAA ,ATP binding ,proteolysis (GO:0006508) [1.000],3
Pn2.2607,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn2.2664,96,Non-specific lipid-transfer protein ,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein ,Tryp_alpha_amyl ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.2677,35,multidrug resistance-associated protein 3 ,multidrug resistance-associated protein 7 ,ABC_tran ,ATP binding ,transport (GO:0006810) [0.985] | transmembrane transport (GO:0055085) [0.985] | metabolic process (GO:0008152) [0.002] | ubiquitin-dependent protein catabolic process (GO:0006511) [0.002] | pentose-phosphate shunt (GO:0006098) [0.002] | oxidation-reduction process (GO:0055114) [0.002],1
Pn2.2682,766,Auxin-responsive GH3 family protein ,Auxin-responsive GH3 family protein,GH3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.2688,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn2.2699,18,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein ,UDPGT ,"transferase activity, transferring hexosyl groups ",metabolic process (GO:0008152) [0.977],2
Pn2.2731,2461,Ankyrin repeat family protein ,Ankyrin repeat family protein,Ank_2 ,protein binding ,metabolic process (GO:0008152) [0.021],6
Pn2.2759,1537,3-ketoacyl-CoA synthase 12 ,3-ketoacyl-CoA synthase 19 ,FAE1_CUT1_RppA ,"transferase activity, transferring acyl groups other than amino-acyl groups ",fatty acid biosynthetic process (GO:0006633) [0.967] | lipid biosynthetic process (GO:0008610) [0.950],4
Pn2.2766,1870,Cyclopropane-fatty-acyl-phospholipid synthase ,Cyclopropane-fatty-acyl-phospholipid synthase,CMAS ,oxidoreductase activity ,lipid biosynthetic process (GO:0008610) [0.982] | oxidation-reduction process (GO:0055114) [0.109],2
Pn2.2774,1870,Cyclopropane-fatty-acyl-phospholipid synthase ,Cyclopropane-fatty-acyl-phospholipid synthase,CMAS ,oxidoreductase activity ,lipid biosynthetic process (GO:0008610) [0.982] | oxidation-reduction process (GO:0055114) [0.109],2
Pn2.2836,3458,DNA polymerase I ,polymerase gamma 1 ,DNA_pol_A ,DNA binding ,DNA replication (GO:0006260) [0.974] | nucleobase-containing compound metabolic process (GO:0006139) [0.897],3
Pn2.2850,4127,RutC family protein ,endoribonuclease L-PSP family protein,Ribonuc_L-PSP ,zinc ion binding ,NULL / Representative annotation below 0.1%,3
Pn2.2864,2423,Carbohydrate-binding-like fold ,Carbohydrate-binding-like fold,CBM_20 ,starch binding ,"DNA-templated transcription, termination (GO:0006353) [0.083]",1
Pn2.2915,10805,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.2962,7927,ATP-dependent Clp protease proteolytic subunit 1 ,CLP protease proteolytic subunit 3,CLP_protease ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.302,3343,O-fucosyltransferase family protein ,O-fucosyltransferase family protein,O-FucT ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.3122,2215,CCR4-NOT transcription complex subunit 7 ,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein",CAF1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.3134,7251,Pre-mRNA-splicing factor CWC22 ,MIF4G domain-containing protein / MA3 domain-containing protein,MA3 ,RNA binding ,carbohydrate metabolic process (GO:0005975) [0.038],6
Pn2.3137,4435,Reticulon family protein ,Reticulon family protein,Reticulon ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn2.3143,5088,FAD/NAD(P)-binding oxidoreductase family protein ,FAD/NAD(P)-binding oxidoreductase family protein,Pyr_redox_2 ,oxidoreductase activity ,oxidation-reduction process (GO:0055114) [0.531],6
Pn2.327,3728,Cox19-like CHCH family protein ,Cox19-like CHCH family protein,CHCH ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.330,318,F-box family protein ,F-box family protein ,F-box ,protein binding ,transmembrane transport (GO:0055085) [0.008],3
Pn2.340,140,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein ","CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein ",CAP ,protein binding ,protein complex assembly (GO:0006461) [0.096] | respiratory chain complex IV assembly (GO:0008535) [0.096],5
Pn2.342,219,receptor lectin kinase ,Concanavalin A-like lectin protein kinase family protein,Pkinase ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],2
Pn2.373,29,Leucine-rich receptor-like protein kinase family protein ,Leucine-rich receptor-like protein kinase family protein ,LRR_1 ,protein kinase activity ,"protein phosphorylation (GO:0006468) [0.907] | DNA-templated transcription, termination (GO:0006353) [0.002]",2
Pn2.426,3728,Cox19-like CHCH family protein ,Cox19-like CHCH family protein,CHCH ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn2.429,238,Rhamnogalacturonate lyase family protein ,Rhamnogalacturonate lyase family protein,fn3_3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.432,9802,Glycogen synthase ,UDP-Glycosyltransferase superfamily protein,Glyco_transf_5 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.433,140,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein ","CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein ",CAP ,protein binding ,protein complex assembly (GO:0006461) [0.096] | respiratory chain complex IV assembly (GO:0008535) [0.096],4
Pn2.520,2866,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.542,1554,Unkown protein / Representative AHRD below 0.1%,"Protein of unknown function, DUF547",DUF547 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn2.636,9202,transducin family protein / WD-40 repeat family protein ,transducin family protein / WD-40 repeat family protein,PUL ,protein binding ,NULL / Representative annotation below 0.1%,1
Pn2.652,317,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,Methyltransf_7 ,methyltransferase activity ,NULL / Representative annotation below 0.1%,2
Pn2.659,317,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,Methyltransf_7 ,methyltransferase activity ,NULL / Representative annotation below 0.1%,2
Pn2.663,1666,ferrochelatase 2 ,ferrochelatase 2 ,Ferrochelatase ,ferrochelatase activity ,heme biosynthetic process (GO:0006783) [1.000],2
Pn2.664,982,WRKY DNA-binding protein 4 ,WRKY DNA-binding protein 4 ,WRKY ,sequence-specific DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.720]",6
Pn2.721,8180,NAD(P)H-quinone oxidoreductase subunit N ,"oxidoreductases, acting on NADH or NADPH, quinone or similar compound as acceptor",NdhN ,"oxidoreductase activity, acting on NAD",oxidation-reduction process (GO:0055114) [1.000],6
Pn2.732,78,Concanavalin A-like lectin protein kinase family protein ,Concanavalin A-like lectin protein kinase family protein ,Lectin_legB ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.996],6
Pn2.749,49,Malectin/receptor-like protein kinase family protein ,Malectin/receptor-like protein kinase family protein ,Malectin_like ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.982] | metabolic process (GO:0008152) [0.003] | proteolysis (GO:0006508) [0.003] | oxidation-reduction process (GO:0055114) [0.003],5
Pn2.767,3508,phosphatase-related ,phosphatase-related,CS ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn2.784,5974,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn2.808,5928,Chromatin assembly factor 1 subunit FAS1 ,chromatin assembly factor-1 (FASCIATA1) (FAS1),CAF1A ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn2.827,317,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,Methyltransf_7 ,methyltransferase activity ,NULL / Representative annotation below 0.1%,3
Pn2.859,1540,Homeodomain-like superfamily protein ,tRNAHis guanylyltransferase ,Thg1C ,tRNA guanylyltransferase activity ,tRNA modification (GO:0006400) [0.517] | carbohydrate metabolic process (GO:0005975) [0.017] | ATP synthesis coupled proton transport (GO:0015986) [0.017],3
Pn2.868,7191,Remorin family protein ,Remorin family protein ,Remorin_C ,protein dimerization activity ,NULL / Representative annotation below 0.1%,4
Pn2.92,1550,plant glycogenin-like starch initiation protein 1 ,plant glycogenin-like starch initiation protein 2 ,Glyco_transf_8 ,"transferase activity, transferring glycosyl groups ",NULL / Representative annotation below 0.1%,6
Pn2.941,61,K-box region and MADS-box transcription factor family protein ,K-box region and MADS-box transcription factor family protein  ,K-box ,sequence-specific DNA binding transcription factor activity ,"regulation of transcription, DNA-templated (GO:0006355) [0.990] | L-serine metabolic process (GO:0006563) [0.003] | signal transduction (GO:0007165) [0.003] | glycine metabolic process (GO:0006544) [0.003]",4
Pn2.962,2943,AP2-like ethylene-responsive transcription factor ,Integrase-type DNA-binding superfamily protein,AP2 ,sequence-specific DNA binding transcription factor activity ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",3
Pn2.987,7191,Remorin family protein ,Remorin family protein ,Remorin_C ,protein dimerization activity ,NULL / Representative annotation below 0.1%,4
Pn20.1016,1200,ENTH/VHS family protein ,ENTH/VHS family protein,ENTH ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn20.1018,506,Zinc finger protein CONSTANS-LIKE 3 ,salt tolerance homolog2 ,zf-B_box ,zinc ion binding ,NULL / Representative annotation below 0.1%,2
Pn20.1019,5778,xylulose kinase-1 ,xylulose kinase-1,FGGY_C ,"phosphotransferase activity, alcohol group as acceptor ",carbohydrate metabolic process (GO:0005975) [0.933],6
Pn20.1025,3465,Cytochrome P450 superfamily protein ,ferulic acid 5-hydroxylase 1 ,p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],1
Pn20.106,1492,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),SEO_N ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn20.1109,4823,Pentatricopeptide repeat (PPR) superfamily protein ,Pentatricopeptide repeat (PPR) superfamily protein,PPR_2 ,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity ,methionine biosynthetic process (GO:0009086) [0.031],3
Pn20.112,2065,Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase ,Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase,Methyltransf_6 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn20.1129,1775,Protein kinase superfamily protein ,Protein kinase superfamily protein,ABC1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn20.1157,790,CYCLIN B2;4 ,Cyclin B2;1 ,Cyclin_N ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.289] | carbohydrate metabolic process (GO:0005975) [0.012],6
Pn20.1194,4014,Pentatricopeptide repeat (PPR) superfamily protein ,Pentatricopeptide repeat (PPR) superfamily protein,PPR ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn20.12,524,DNA-directed RNA polymerase D subunit 2b ,nuclear RNA polymerase D2B ,RNA_pol_Rpb2_6 ,DNA-directed RNA polymerase activity ,"transcription, DNA-templated (GO:0006351) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [0.010]",3
Pn20.127,6568,thioredoxin F2 ,thioredoxin F2 ,Thioredoxin ,NULL / Representative annotation below 0.1%,cell redox homeostasis (GO:0045454) [1.000],4
Pn20.134,842,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein ,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein,LTP_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn20.190,4136,ATP synthase subunit b' ,"ATPase, F0 complex, subunit B/B', bacterial/chloroplast",ATP-synt_B ,hydrogen ion transmembrane transporter activity ,ATP synthesis coupled proton transport (GO:0015986) [0.886],4
Pn20.290,142,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein ,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,Methyltransf_29 ,methyltransferase activity ,NULL / Representative annotation below 0.1%,5
Pn20.344,1818,Pollen Ole e 1 allergen and extensin family protein ,Pollen Ole e 1 allergen and extensin family protein,Pollen_Ole_e_I ,structural constituent of cell wall ,plant-type cell wall organization (GO:0009664) [0.018],1
Pn20.346,11703,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),WW ,protein binding ,NULL / Representative annotation below 0.1%,6
Pn20.403,3829,COP1-interacting protein-related ,COP1-interacting protein-related,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn20.408,1798,pinoresinol reductase 1 ,NmrA-like negative transcriptional regulator family protein ,NmrA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn20.419,3732,Tetratricopeptide repeat (TPR)-like superfamily protein ,Tetratricopeptide repeat (TPR)-like superfamily protein,TPR_1 ,protein binding ,NULL / Representative annotation below 0.1%,2
Pn20.436,759,Fatty acid hydroxylase superfamily ,Fatty acid hydroxylase superfamily,FA_hydroxylase ,iron ion binding ,fatty acid biosynthetic process (GO:0006633) [0.976] | oxidation-reduction process (GO:0055114) [0.976],2
Pn20.578,2275,peroxisomal 3-ketoacyl-CoA thiolase 3 ,peroxisomal 3-keto-acyl-CoA thiolase 2 ,Thiolase_C ,"transferase activity, transferring acyl groups other than amino-acyl groups ",metabolic process (GO:0008152) [1.000] | protein phosphorylation (GO:0006468) [0.020] | vesicle-mediated transport (GO:0016192) [0.020],2
Pn20.585,197,Pectin lyase-like superfamily protein ,Pectin lyase-like superfamily protein ,Pec_lyase_C ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn20.589,7023,Leucine-rich repeat protein kinase family protein ,transmembrane kinase-like 1,Pkinase_Tyr ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.963],2
Pn20.591,6571,"cytochrome P450, family 97, subfamily A, polypeptide 3 ","cytochrome P450, family 97, subfamily A, polypeptide 3",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],6
Pn20.595,7752,ubiquitin fusion degradation 1 ,Ubiquitin fusion degradation UFD1 family protein,UFD1 ,NULL / Representative annotation below 0.1%,ubiquitin-dependent protein catabolic process (GO:0006511) [0.960],5
Pn20.598,12117,Auxin-responsive family protein ,Unkown protein(s) / No TAIR description(s),DUF568 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn20.611,282,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2OG-FeII_Oxy ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [1.000],4
Pn20.629,6496,Peptidase S41 family protein ,Peptidase S41 family protein,Peptidase_S41 ,serine-type peptidase activity ,proteolysis (GO:0006508) [1.000],3
Pn20.634,10169,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,P-loop containing nucleoside triphosphate hydrolases superfamily protein,MMR_HSR1 ,GTP binding ,NULL / Representative annotation below 0.1%,1
Pn20.678,1548,Chaperone protein DnaJ ,DNAJ-like 20,DnaJ ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn20.680,3487,Long-chain-fatty-acid--CoA ligase 1 ,acyl-activating enzyme 15 ,AMP-binding ,catalytic activity ,metabolic process (GO:0008152) [1.000],3
Pn20.702,376,HVA22 homologue A ,HVA22 homologue A ,TB2_DP1_HVA22 ,glucose-6-phosphate dehydrogenase activity ,oxidation-reduction process (GO:0055114) [0.009] | glucose metabolic process (GO:0006006) [0.009],5
Pn20.706,698,"nuclear factor Y, subunit C9 ","nuclear factor Y, subunit C9 ",CBFD_NFYB_HMF ,sequence-specific DNA binding ,protein targeting (GO:0006605) [0.011] | intracellular protein transport (GO:0006886) [0.011],4
Pn20.715,8117,CBS domain-containing protein ,Cystathionine beta-synthase (CBS) family protein,CBS ,adenyl nucleotide binding ,NULL / Representative annotation below 0.1%,2
Pn20.749,580,Bidirectional sugar transporter N3 ,Nodulin MtN3 family protein ,MtN3_slv ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn20.76,2385,pirin ,RmlC-like cupins superfamily protein,Pirin ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn20.770,4372,ATP-dependent zinc metalloprotease FtsH 3 ,FtsH extracellular protease family ,AAA ,ATP binding ,proteolysis (GO:0006508) [0.971],4
Pn20.780,1313,Calcium-dependent phosphotriesterase superfamily protein ,Calcium-dependent phosphotriesterase superfamily protein ,Str_synth ,strictosidine synthase activity ,biosynthetic process (GO:0009058) [0.985],2
Pn20.837,790,CYCLIN B2;4 ,Cyclin B2;1 ,Cyclin_N ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.289] | carbohydrate metabolic process (GO:0005975) [0.012],3
Pn20.897,1759,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn20.919,7925,cofactor assembly of complex C ,cofactor assembly of complex C,DUF3529 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn20.934,11038,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn20.964,3240,Nucleotide-diphospho-sugar transferase family protein ,cyclin-related ,Nucleotid_trans ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn20.990,563,NAD(P)-binding Rossmann-fold superfamily protein ,NAD(P)-binding Rossmann-fold superfamily protein,adh_short ,oxidoreductase activity ,metabolic process (GO:0008152) [1.000],2
Pn21.1025,375,Cysteine proteinases superfamily protein ,senescence-associated gene 12,Inhibitor_I29 ,cysteine-type peptidase activity ,proteolysis (GO:0006508) [1.000],2
Pn21.1041,3504,UDP-Glycosyltransferase superfamily protein ,UDP-Glycosyltransferase superfamily protein,Glycos_transf_1 ,NULL / Representative annotation below 0.1%,biosynthetic process (GO:0009058) [1.000] | DNA integration (GO:0015074) [0.026],2
Pn21.1045,6967,alpha/beta-Hydrolases superfamily protein ,Hydrolase-like protein family,DUF676 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn21.1056,6968,sequence-specific DNA binding transcription factors ,Unkown protein(s) / No TAIR description(s),DUF4228 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn21.1097,282,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2OG-FeII_Oxy ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [1.000],1
Pn21.1105,376,HVA22 homologue A ,HVA22 homologue A ,TB2_DP1_HVA22 ,glucose-6-phosphate dehydrogenase activity ,oxidation-reduction process (GO:0055114) [0.009] | glucose metabolic process (GO:0006006) [0.009],5
Pn21.1118,3719,early nodulin-like protein 4 ,early nodulin-like protein 3 ,Cu_bind_like ,copper ion binding ,NULL / Representative annotation below 0.1%,4
Pn21.112,149,Cation/H(+) antiporter 15 ,cation/H+ exchanger 16 ,Na_H_Exchanger ,solute:hydrogen antiporter activity ,cation transport (GO:0006812) [0.870] | transmembrane transport (GO:0055085) [0.870] | response to stress (GO:0006950) [0.038],4
Pn21.1149,13039,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF4220 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn21.1163,52,Wall-associated receptor kinase 2 ,Wall-associated kinase family protein ,GUB_WAK_bind ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.859] | cell wall macromolecule catabolic process (GO:0016998) [0.014],4
Pn21.1202,3545,proton pump interactor 1 ,proton pump interactor 1,Pollen_Ole_e_I ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn21.1206,598,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase_Tyr ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],5
Pn21.1219,8591,"30S ribosomal protein S20, chloroplastic ","chloroplast 30S ribosomal protein S20, putative",Ribosomal_S20p ,RNA binding ,translation (GO:0006412) [1.000],4
Pn21.1229,2366,Bifunctional aspartokinase/homoserine dehydrogenase 1 ,aspartate kinase 3 ,AA_kinase ,amino acid binding ,metabolic process (GO:0008152) [0.592],1
Pn21.1256,13039,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF4220 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn21.1272,3257,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn21.1323,13039,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DUF4220 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn21.1344,443,Chalcone synthase 2 ,Chalcone and stilbene synthase family protein,Chal_sti_synt_N ,"transferase activity, transferring acyl groups ",biosynthetic process (GO:0009058) [1.000],1
Pn21.1359,7766,"Succinate dehydrogenase assembly factor 2, mitochondrial ",Unkown protein(s) / No TAIR description(s),Sdh5 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn21.1366,2674,"transferases, transferring glycosyl groups ","transferases, transferring glycosyl groups",NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn21.1406,9807,Ribosomal RNA small subunit methyltransferase B ,NOL1/NOP2/sun family protein,Nol1_Nop2_Fmu ,RNA binding ,NULL / Representative annotation below 0.1%,3
Pn21.1423,3071,Proteasome subunit alpha type-7 ,20S proteasome  alpha subunit PAD1 ,Proteasome ,threonine-type endopeptidase activity ,proteolysis involved in cellular protein catabolic process (GO:0051603) [0.952] | ubiquitin-dependent protein catabolic process (GO:0006511) [0.905] | phosphorelay signal transduction system (GO:0000160) [0.071],5
Pn21.17,517,serine carboxypeptidase-like 45 ,serine carboxypeptidase-like 45 ,Peptidase_S10 ,serine-type carboxypeptidase activity ,proteolysis (GO:0006508) [0.650] | protein dephosphorylation (GO:0006470) [0.350],4
Pn21.173,1759,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn21.177,590,ATP binding microtubule motor family protein ,ATP binding microtubule motor family protein,Kinesin ,ATP binding ,microtubule-based movement (GO:0007018) [0.968],3
Pn21.221,244,SAUR-like auxin-responsive protein family ,SAUR-like auxin-responsive protein family ,Auxin_inducible ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,4
Pn21.250,1363,DNA-binding bromodomain-containing protein ,DNA-binding bromodomain-containing protein,Bromodomain ,protein binding ,NULL / Representative annotation below 0.1%,3
Pn21.251,790,CYCLIN B2;4 ,Cyclin B2;1 ,Cyclin_N ,protein kinase activity ,protein phosphorylation (GO:0006468) [0.289] | carbohydrate metabolic process (GO:0005975) [0.012],3
Pn21.298,1196,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000] | cell redox homeostasis (GO:0045454) [0.015],5
Pn21.323,126,"Beta-1,3-N-Acetylglucosaminyltransferase family protein ","Beta-1,3-N-Acetylglucosaminyltransferase family protein ",PMD ,hydrolase activity ,NULL / Representative annotation below 0.1%,5
Pn21.335,8117,CBS domain-containing protein ,Cystathionine beta-synthase (CBS) family protein,CBS ,adenyl nucleotide binding ,NULL / Representative annotation below 0.1%,2
Pn21.357,297,"cytochrome P450, family 94, subfamily D, polypeptide 2 ","cytochrome P450, family 94, subfamily B, polypeptide 2 ",p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],5
